"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"75" "DD5" "FinalShootWeightS02_g" 0.16 0.09 0.220710468303112 0.5606 8.63441967704264e-05 0.352017006753086 0.6015 0.000160019433320415
"374" "TD" "TotalWeight" 0.15 -0.28 NA NA NA NA NA NA
"365" "TD" "FinalStemDiamS02_mm" 0.15 -0.25 0.195763135140781 0.5428 7.50613202791187e-05 0.125581004671178 0.5358 5.55793429100681e-05
"356" "SHM" "RootShoot_Ratio" 0.15 0.21 0.127852171368212 0.5356 4.92682166663848e-05 0.234591387849669 0.5627 0.000102719914779373
"322" "NFFD" "RootShoot_Ratio" 0.15 0.33 -0.0110604075242409 0.5001 -4.26281988423729e-06 0.30048199313104 0.586 0.000131570733454673
"313" "NFFD" "FinalShootWeightS02_g" 0.15 -0.01 0.114277583277168 0.5312 4.47063723763298e-05 -0.379478010513136 0.3875 -0.000172502490662287
"290" "MWMT" "BudBreakS02_day" 0.15 -0.19 0.192728530734633 0.5502 7.35816888679184e-05 0.153337924245804 0.5402 6.74665447789016e-05
"220" "log(MAP)" "RootShoot_Ratio" -0.15 0.12 0.2053125505105 0.549 7.91188417474313e-05 -0.0688475507079164 0.4837 -3.01475451541782e-05
"219" "log(MAP)" "MaxGthRate_mm_Day" -0.15 0.29 0.0517985318693169 0.5114 2.05793531207373e-05 -0.23876158083986 0.4343 -0.000102957841699145
"194" "Latitude" "FinalShootWeightS02_g" 0.15 0.28 0.0764605771281403 0.5166 2.99132545422246e-05 -0.134148524845263 0.4717 -6.09788721625337e-05
"180" "FFP" "Gth5pctS02_Day" 0.15 0.2 0.145448262198935 0.5347 5.25168167953336e-05 0.129461352768981 0.534 5.35346717019492e-05
"170" "EXT" "TotalWeight" 0.15 0.14 NA NA NA NA NA NA
"164" "EXT" "Gth95pctS02_Day" 0.15 0.27 0.126062775182964 0.5366 4.85472515738526e-05 0.330338662818346 0.5949 0.000150842809915475
"156" "EXT" "ColdInjuryFallS02_Mean" 0.15 -0.08 0.143820755991225 0.5355 6.07587476137292e-05 -0.040454523474193 0.49 -2.15311308237203e-05
"114" "Elevation" "HtFinalS01_mm" -0.15 -0.05 0.144062370107899 0.5349 5.57988688016978e-05 0.161232755772146 0.541 6.94823410829892e-05
"78" "DD5" "Gth5pctS02_Day" 0.15 0.25 0.15097380057141 0.5363 5.45124651013165e-05 0.13802746928908 0.5364 5.70777978522748e-05
